Serial Number,Timestamp,Diverter Energy (L1) (Wh),Diverter Energy (L2) (Wh),Diverter Energy (L3) (Wh)
XXXXXXXX,2025-07-30T00:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-30T01:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-30T02:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-30T03:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-30T04:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-30T05:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-30T06:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-30T07:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-30T08:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-30T09:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-30T10:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-30T11:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-30T12:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-30T13:00:00.000Z,2879.68,2199.66,2232.26
XXXXXXXX,2025-07-30T14:00:00.000Z,3119.61,1949.95,1976.21
XXXXXXXX,2025-07-30T15:00:00.000Z,3546.08,2363.66,2417.25
XXXXXXXX,2025-07-30T16:00:00.000Z,2695.55,1334.20,1341.75
XXXXXXXX,2025-07-30T17:00:00.000Z,3250.20,1503.13,1537.11
XXXXXXXX,2025-07-30T18:00:00.000Z,3893.96,414.03,417.20
XXXXXXXX,2025-07-30T19:00:00.000Z,2999.66,2.90,2.76
XXXXXXXX,2025-07-30T20:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-30T21:00:00.000Z,55.63,37.63,37.33
XXXXXXXX,2025-07-30T22:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-30T23:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-31T00:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-31T01:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-31T02:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-31T03:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-31T04:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-31T05:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-31T06:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-31T07:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-31T08:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-31T09:00:00.000Z,927.43,1.63,1.58
XXXXXXXX,2025-07-31T10:00:00.000Z,2315.13,2.51,2.43
XXXXXXXX,2025-07-31T11:00:00.000Z,4554.23,440.81,438.88
XXXXXXXX,2025-07-31T12:00:00.000Z,3465.21,510.00,505.60
XXXXXXXX,2025-07-31T13:00:00.000Z,1439.98,1.41,1.10
XXXXXXXX,2025-07-31T14:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-31T15:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-31T16:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-31T17:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-31T18:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-31T19:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-31T20:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-31T21:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-31T22:00:00.000Z,0.00,0.00,0.00
XXXXXXXX,2025-07-31T23:00:00.000Z,0.00,0.00,0.00
