datum;"afname stand dal";"afname stand normaal";"invoeding stand dal";"invoeding stand normaal";"afname minus invoeding stand totaal";"afname verbruik dal";"afname verbruik normaal";"invoeding productie dal";"invoeding productie normaal";"afname minus invoeding verbruik totaal"
25-01-2024;1367;1458;39;97;2689;6;13;0;-4;15
24-01-2024;1364;1444;39;94;2675;3;14;0;-3;14
23-01-2024;1360;1433;39;92;2662;4;11;0;-2;13
22-01-2024;1349;1421;39;84;2647;11;12;0;-8;15
21-01-2024;1322;1421;39;84;2620;27;0;0;0;27
20-01-2024;1286;1421;38;84;2585;36;0;-1;0;35
19-01-2024;1279;1400;38;83;2558;7;21;0;-1;27
18-01-2024;1270;1386;38;77;2541;9;14;0;-6;17
17-01-2024;1257;1358;38;77;2500;13;28;0;0;41
16-01-2024;1245;1336;38;75;2468;12;22;0;-2;32
15-01-2024;1238;1319;38;75;2444;7;17;0;0;24
14-01-2024;1215;1319;37;75;2422;23;0;-1;0;22
13-01-2024;1183;1319;37;75;2390;32;0;0;0;32
12-01-2024;1167;1299;37;74;2355;16;20;0;-1;35
11-01-2024;1150;1261;37;74;2300;17;38;0;0;55
10-01-2024;1146;1234;37;73;2270;4;27;0;-1;30
09-01-2024;1142;1216;37;71;2250;4;18;0;-2;20
08-01-2024;1138;1206;37;68;2239;4;10;0;-3;11
07-01-2024;1134;1206;34;68;2238;4;0;-3;0;1
06-01-2024;1119;1206;34;68;2223;15;0;0;0;15
05-01-2024;1111;1188;34;68;2197;8;18;0;0;26
04-01-2024;1105;1179;34;68;2182;6;9;0;0;15
03-01-2024;1097;1166;34;68;2161;8;13;0;0;21
02-01-2024;1089;1161;34;67;2149;8;5;0;-1;12
01-01-2024;1077;1161;32;67;2139;12;0;-2;0;10
31-12-2023;1063;1161;32;67;2125;;;;;
30-12-2023;1042;1161;31;67;2105;21;0;-1;0;20
29-12-2023;1037;1147;31;66;2087;5;14;0;-1;18
28-12-2023;1032;1131;31;65;2067;5;16;0;-1;20
27-12-2023;1025;1122;31;65;2051;7;9;0;0;16
26-12-2023;1010;1122;29;65;2038;15;0;-2;0;13
25-12-2023;1003;1122;28;65;2032;7;0;-1;0;6
24-12-2023;995;1122;28;65;2024;8;0;0;0;8
23-12-2023;982;1122;28;65;2011;13;0;0;0;13
22-12-2023;968;1115;28;64;1991;14;7;0;-1;20
21-12-2023;967;1106;28;64;1981;1;9;0;0;10
20-12-2023;963;1090;28;64;1961;4;16;0;0;20
19-12-2023;962;1082;28;63;1953;1;8;0;-1;8
18-12-2023;955;1074;28;63;1938;7;8;0;0;15
17-12-2023;944;1074;26;63;1929;11;0;-2;0;9
16-12-2023;928;1074;26;63;1913;16;0;0;0;16
15-12-2023;924;1067;26;60;1905;4;7;0;-3;8
14-12-2023;920;1057;26;60;1891;4;10;0;0;14
13-12-2023;913;1035;26;60;1862;7;22;0;0;29
12-12-2023;903;1018;26;60;1835;10;17;0;0;27
11-12-2023;900;1011;26;58;1827;3;7;0;-2;8
10-12-2023;897;1011;24;58;1826;3;0;-2;0;1
09-12-2023;881;1011;24;58;1810;16;0;0;0;16
08-12-2023;878;984;24;58;1780;3;27;0;0;30
07-12-2023;866;964;24;58;1748;12;20;0;0;32
06-12-2023;853;945;24;57;1717;13;19;0;-1;31
05-12-2023;850;914;24;57;1683;3;31;0;0;34
04-12-2023;836;904;24;57;1659;14;10;0;0;24
03-12-2023;805;904;22;57;1630;31;0;-2;0;29
02-12-2023;766;904;22;57;1591;39;0;0;0;39
01-12-2023;759;880;22;56;1561;7;24;0;-1;30
30-11-2023;747;858;22;56;1527;12;22;0;0;34
29-11-2023;741;840;22;55;1504;6;18;0;-1;23
28-11-2023;732;822;22;50;1482;9;18;0;-5;22
27-11-2023;728;807;22;50;1463;4;15;0;0;19
26-11-2023;717;807;18;50;1456;11;0;-4;0;7
25-11-2023;706;807;15;50;1448;11;0;-3;0;8
24-11-2023;702;793;15;49;1431;4;14;0;-1;17
23-11-2023;701;789;15;47;1428;1;4;0;-2;3
22-11-2023;693;778;15;46;1410;8;11;0;-1;18
21-11-2023;692;773;15;46;1404;1;5;0;0;6
20-11-2023;686;769;15;38;1402;6;4;0;-8;2
19-11-2023;681;769;14;38;1398;5;0;-1;0;4
18-11-2023;665;769;14;38;1382;16;0;0;0;16
17-11-2023;664;759;14;33;1376;1;10;0;-5;6
16-11-2023;662;754;14;28;1374;2;5;0;-5;2
